Category,Keyword,Clue 1,Clue 2,Clue 3
மூன்றெழுத்து,அம்பு,வில்,எய்,கூர்மை
மூன்றெழுத்து,அரசி,ராணி,ராஜா,கிரீடம்
மூன்றெழுத்து,அரிசி,நெல்,சோறு,தானியம்
மூன்றெழுத்து,அரிமா,சிங்கம்,காடு,கர்ஜனை
மூன்றெழுத்து,அருவி,நீர்வீழ்ச்சி,மலை,தண்ணீர்
மூன்றெழுத்து,அன்பு,பாசம்,நேசம்,காதல்
மூன்றெழுத்து,அன்னை,தாய்,அம்மா,பெற்றோர்
மூன்றெழுத்து,அனல்,வெப்பம்,சூடு,நெருப்பு
மூன்றெழுத்து,ஆண்டு,வருடம்,மாதம்,நாள்
மூன்றெழுத்து,ஆவணி,மாதம்,தமிழ்,ஐந்தாம்
மூன்றெழுத்து,இரவு,பகல்,இருள்,நிலா
மூன்றெழுத்து,ஈட்டி,வேல்,ஆயுதம்,திரிசூலம்
மூன்றெழுத்து,உண்மை,பொய்,மெய்,சத்தியம்
மூன்றெழுத்து,உரிமை,கடமை,சுதந்திரம்,தகுதி
மூன்றெழுத்து,உதவி,சகாயம்,ஆதரவு,கைம்மாறு
மூன்றெழுத்து,ஐயம்,சந்தேகம்,தெளிவு,கேள்வி
மூன்றெழுத்து,ஓய்வு,உழைப்பு,இளைப்பாறு,விடுமுறை
மூன்றெழுத்து,கடல்,சமுத்திரம்,அலை,கப்பல்
மூன்றெழுத்து,கபடி,விளையாட்டு,ஆட்டம்,குழு
மூன்றெழுத்து,கயிறு,வடம்,கட்டு,இழு
மூன்றெழுத்து,கரம்,கை,விரல்,உள்ளங்கை
மூன்றெழுத்து,கருவி,சாதனம்,உபகரணம்,ஆயுதம்
மூன்றெழுத்து,கல்வி,படிப்பு,ஞானம்,பள்ளி
மூன்றெழுத்து,கவலை,துக்கம்,மகிழ்ச்சி,துன்பம்
மூன்றெழுத்து,கனவு,நிஜம்,உறக்கம்,கற்பனை
மூன்றெழுத்து,கிணறு,கேணி,தண்ணீர்,ஆழம்
மூன்றெழுத்து,காகம்,காக்கை,பறவை,கரைதல்
மூன்றெழுத்து,காலம்,நேரம்,பருவம்,வினாடி
மூன்றெழுத்து,காவிரி,ஆறு,நதி,தண்ணீர்
மூன்றெழுத்து,கிருமி,நுண்ணுயிர்,தோற்று,நோய்
மூன்றெழுத்து,குணம்,பண்பு,இயல்பு,நடத்தை
மூன்றெழுத்து,குருவி,சிட்டு,பறவை,கூடு
மூன்றெழுத்து,குளம்,ஏரி,நீர்நிலை,தாமரை
மூன்றெழுத்து,கேள்வி,பதில்,வினா,விசாரணை
மூன்றெழுத்து,கொள்கை,கோட்பாடு,தத்துவம்,விதி
மூன்றெழுத்து,கோட்டை,அரண்,மதில்,பாதுகாப்பு
மூன்றெழுத்து,கோயில்,ஆலயம்,தேவாலயம்,வழிபாடு
மூன்றெழுத்து,சட்டை,உடை,ஆடை,துணி
மூன்றெழுத்து,சாட்டை,அடி,கசை,வண்டி
மூன்றெழுத்து,சாதம்,சோறு,அன்னம்,உணவு
மூன்றெழுத்து,சிற்பி,சிலை,செதுக்கு,உளி
மூன்றெழுத்து,ஞாயிறு,சூரியன்,கிழமை,பகல்
மூன்றெழுத்து,தந்தை,அப்பா,பெற்றோர்,மகன்
மூன்றெழுத்து,தவம்,யோகம்,முனிவர்,வரம்
மூன்றெழுத்து,தவளை,நுணல்,நிலம்,தாவும்
மூன்றெழுத்து,தவறு,சரி,பிழை,குற்றம்
மூன்றெழுத்து,தாமரை,மலர்,குளம்,இலை
மூன்றெழுத்து,தேசம்,நாடு,தேசபக்தி,குடிமகன்
மூன்றெழுத்து,தேர்வு,பரீட்சை,வெற்றி,தோல்வி
மூன்றெழுத்து,தோல்வி,வெற்றி,பின்னடைவு,ஏமாற்றம்
மூன்றெழுத்து,நகம்,விரல்,கை,கால்
மூன்றெழுத்து,நன்றி,உபகாரம்,பாராட்டு,செய்நன்றி
மூன்றெழுத்து,நாகம்,பாம்பு,சர்ப்பம்,விஷம்
மூன்றெழுத்து,நிலவு,சந்திரன்,இரவு,வெளிச்சம்
மூன்றெழுத்து,நிழல்,வெயில்,மரம்,உருவம்
மூன்றெழுத்து,நீராவி,ஆவி,வெப்பம்,கொதி
மூன்றெழுத்து,பகல்,இரவு,வெளிச்சம்,காலை
